,Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
0,100% Pure,False,False,False,False,0,0,0,0,0
1,100BON,True,False,False,False,0,0,0,0,0
2,1121 Apothecary,True,False,False,False,0,0,0,0,0
3,21 Drops,True,False,False,False,0,0,0,0,0
4,2B,False,False,False,False,0,0,0,0,0
5,2nd KIND,True,False,False,False,0,0,0,0,0
6,"7 Virtues, The",True,False,False,False,0,1,0,0,0
7,8 Greens,False,False,False,False,0,1,0,0,0
8,A Girl’s Gotta Spa,True,False,False,False,0,0,0,0,0
9,ABBA Pure Performance Hair Care,False,False,True,False,0,0,0,0,0
10,AG Hair,False,False,False,False,1,0,0,0,0
11,AG Hair Cosmetics,False,False,False,False,0,0,0,0,0
12,AILA Cosmetics,True,False,False,False,0,0,0,0,0
13,AURIC,False,False,False,False,0,0,0,0,0
14,AYRES,True,False,False,False,0,0,0,0,0
15,AZATURE,True,False,False,False,0,0,0,0,0
16,About Face,True,False,False,False,0,0,0,0,0
17,Ace Beaute,False,False,False,True,0,0,0,0,0
18,Acid-2-Alkaline,True,False,False,False,0,0,0,0,0
19,Activist Skincare,True,False,False,False,0,0,0,0,0
20,Acure,True,False,False,False,1,0,0,0,0
21,Adorn Cosmetics,True,False,False,False,0,0,0,0,0
22,Adwoa Beauty,False,False,False,False,0,1,0,0,0
23,Aether Lashes,True,False,False,False,0,0,0,0,0
24,Aeva Beauty,False,False,False,True,0,0,0,0,0
25,Afrocenchix,True,False,False,True,0,0,0,0,0
26,Ageless Derma,False,False,False,False,0,0,0,0,0
27,Ahimsa Naturals,True,False,False,False,0,0,0,0,0
28,Ainhoa Cosmetics,False,False,False,False,0,0,0,0,0
29,Akamai,True,False,False,False,0,0,0,0,0
30,Alaska Glacial Mud Co.,False,False,False,False,0,0,0,0,0
31,Alba Botanica,False,False,False,False,0,0,0,0,0
32,Aldi,False,False,False,False,0,0,0,0,0
33,Alexami,False,False,False,False,0,0,0,0,0
34,Alima Pure,False,False,False,False,0,0,0,0,1
35,"All Natural Face, The",True,False,False,False,0,0,0,0,0
36,All Terrain,False,False,False,False,0,0,0,0,0
37,Alma Botanicals,False,False,False,False,0,0,0,0,0
38,Alo Glow System,True,False,False,False,0,0,0,0,0
39,Alpyn Beauty,False,False,False,False,0,1,0,0,0
40,Ambre Blends,False,False,False,False,0,0,0,0,0
41,Amika,False,False,False,False,0,1,0,0,0
42,Amopé,False,False,False,False,1,0,0,0,0
43,Anastasia Beverly Hills,False,False,False,False,1,1,1,1,1
44,Andalou Naturals,False,False,False,False,1,0,0,0,0
45,Anita Grant,False,False,False,True,0,0,0,0,0
